tau,xi,xi_ratio,p_g,mean_prob_gt_u0,sd_prob_gt_u0
0.5,0.13,1.3,240,0.5267853715377742,0.058140050433758056
0.5,0.15000000000000002,1.5000000000000002,240,0.3792817415758206,0.026847917310101055
0.5,0.2,2.0,240,0.7774115416050593,0.1843900682760623
0.5,0.03,0.3,480,0.08748002052447787,0.04973338770163361
0.5,0.05,0.5,480,0.0936094350331916,0.11903615029745
0.5,0.06999999999999999,0.6999999999999998,480,0.32351869753156587,0.2849343891987659
0.5,0.085,0.85,480,0.4712790979446974,0.3476311614468724
0.5,0.095,0.95,480,0.2397995300430375,0.1350858207062863
0.5,0.10500000000000001,1.05,480,0.4570994380758621,0.3291746000134163
0.5,0.11499999999999999,1.15,480,0.5809768575380676,0.18777322340084673
0.5,0.13,1.3,480,0.7524372727636215,0.14772952721357283
0.5,0.15000000000000002,1.5000000000000002,480,0.6706512272941603,0.014322416576643559
0.5,0.2,2.0,480,0.8431281793021301,0.08556874697602317
1.0,0.075,0.3,30,0.03251718166585902,0.011228112286819643
1.0,0.125,0.5,30,0.2959803205431112,0.28296187576852244
1.0,0.175,0.7,30,0.4150746782885397,0.08572961092872124
1.0,0.2125,0.85,30,0.3771438120141115,0.42661270550965863
1.0,0.2375,0.95,30,0.46313217834427867,0.4594812060184445
1.0,0.2625,1.05,30,0.20328787513768082,0.08150229857865994
1.0,0.2875,1.15,30,0.44793642785587806,0.492014775740377
1.0,0.325,1.3,30,0.6588296110621282,0.24559011575804857
1.0,0.375,1.5,30,0.5193170674768984,0.04744033574173496
1.0,0.5,2.0,30,0.35394952304160626,0.25742090096591974
1.0,0.075,0.3,60,0.2868403008828146,0.26398328415524774
1.0,0.125,0.5,60,0.48226961352414277,0.11869027271309641
1.0,0.175,0.7,60,0.36830336380363315,0.06224869226592484
1.0,0.2125,0.85,60,0.22831653284830233,0.08937287122984129
1.0,0.2375,0.95,60,0.17937265569154698,0.14445800381597526
1.0,0.2625,1.05,60,0.15591771581596373,0.16302228317394102
1.0,0.2875,1.15,60,0.7289020934409738,0.12942079880656676
1.0,0.325,1.3,60,0.3278675146036013,0.25950936325511803
1.0,0.375,1.5,60,0.8152933267151723,0.06380996479537315
1.0,0.5,2.0,60,0.7282237597919685,0.1453848618695975
1.0,0.075,0.3,120,0.011071970948582876,0.002491477265022208
1.0,0.125,0.5,120,0.032833568346177615,0.0020766535829997586
1.0,0.175,0.7,120,0.30390315498577414,0.06877335773886416
1.0,0.2125,0.85,120,0.2773221656202664,0.010096314220614182
1.0,0.2375,0.95,120,0.2257833572894849,0.3019849139095805
1.0,0.2625,1.05,120,0.4476672060490177,0.2674418012988876
1.0,0.2875,1.15,120,0.4988675774353407,0.49358576034933155
1.0,0.325,1.3,120,0.840612250368163,0.13521477048100378
1.0,0.375,1.5,120,0.7263719782570307,0.2438338683093345
1.0,0.5,2.0,120,0.8491463421252738,0.06296234316345709
1.0,0.075,0.3,240,0.0004358752917777008,0.0005864874750603434
1.0,0.125,0.5,240,0.008987886513754198,0.012609378862896039
1.0,0.175,0.7,240,0.042733348276815006,0.05478812001908061
1.0,0.2125,0.85,240,0.29401445197195647,0.18463245796124206
1.0,0.2375,0.95,240,0.5660199608454051,0.4124871078231209
1.0,0.2625,1.05,240,0.34533085371616196,0.2369413688087111
1.0,0.2875,1.15,240,0.6465724404441544,0.3335044334896817
1.0,0.325,1.3,240,0.9067349042842927,0.0986091496707054
1.0,0.375,1.5,240,0.8290984737887389,0.07248624530484038
1.0,0.5,2.0,240,0.9889744752190479,0.015462091404673715
1.0,0.075,0.3,480,7.751275095381599e-07,1.0096159794851272e-06
1.0,0.125,0.5,480,0.005924312085559518,0.004704333385025399
1.0,0.175,0.7,480,0.04086052847537966,0.028334528970190426
1.0,0.2125,0.85,480,0.16710267069271573,0.16662160919368602
1.0,0.2375,0.95,480,0.12416691422719742,0.08540342305606222
1.0,0.2625,1.05,480,0.41073986352157377,0.13189266233576236
1.0,0.2875,1.15,480,0.3980895070764543,0.49972657917179897
1.0,0.325,1.3,480,0.9063763434152635,0.12876916767589003
1.0,0.375,1.5,480,0.9560181412711717,0.05743380138926692
1.0,0.5,2.0,480,0.9999921801557221,1.1057656264322766e-05
