tau,xi,p_g,replicate_id,post_prob_kappa_gt_u0,post_mean_kappa,xi_ratio
0.2,0.02500000000000001,480,2,0.24953035911076338,0.28879418651622324,1.3
0.2,0.028846153846153855,480,1,0.36579302767065175,0.4008285443954468,1.5
0.2,0.028846153846153855,480,2,0.29426863671296977,0.33347235073273296,1.5
0.2,0.03846153846153847,480,1,0.3031863013666675,0.34215927377673105,2.0
0.2,0.03846153846153847,480,2,0.35728075494973843,0.39310797482447946,2.0
0.3,0.01238532110091743,30,1,0.21158459885463177,0.25232584356093546,0.3
0.3,0.01238532110091743,30,2,0.25862121079927086,0.2982177905198694,0.3
0.3,0.020642201834862383,30,1,0.27785565382426997,0.3164459773779045,0.5
0.3,0.020642201834862383,30,2,0.29239559726990744,0.33002101909974674,0.5
0.3,0.028899082568807334,30,1,0.2898134503982664,0.3276230535155279,0.7
0.3,0.028899082568807334,30,2,0.3156622702971038,0.3513778955481661,0.7
0.3,0.03509174311926605,30,1,0.21703209566832166,0.25773841853413626,0.85
0.3,0.03509174311926605,30,2,0.21872247245903792,0.2594126596460383,0.85
0.3,0.03922018348623853,30,1,0.2611450152875801,0.30062715161884007,0.95
0.3,0.03922018348623853,30,2,0.3135080856422693,0.34941949646963694,0.95
0.3,0.043348623853211005,30,1,0.295399307916851,0.33280350820739196,1.05
0.3,0.043348623853211005,30,2,0.2814243457611257,0.3197941060994403,1.05
0.3,0.047477064220183475,30,1,0.2709427641118556,0.3099302194567742,1.15
0.3,0.047477064220183475,30,2,0.2475625395689315,0.28759760775583065,1.15
0.3,0.0536697247706422,30,1,0.3137573102597918,0.34964626850832914,1.3
0.3,0.0536697247706422,30,2,0.29812589143555845,0.33532278686721384,1.3
0.3,0.061926605504587146,30,1,0.2970487098060845,0.33432824303996245,1.5
0.3,0.061926605504587146,30,2,0.2862136012844869,0.3242707338223242,1.5
0.3,0.08256880733944953,30,1,0.2150823692689232,0.2558041927188475,2.0
0.3,0.08256880733944953,30,2,0.26395501296037593,0.30330346485003257,2.0
0.3,0.01238532110091743,60,1,0.3279835159235136,0.36288163616165325,0.3
0.3,0.01238532110091743,60,2,0.30577621510107944,0.34274862582141075,0.3
0.3,0.020642201834862383,60,1,0.2754938045349654,0.31462696512383587,0.5
0.3,0.020642201834862383,60,2,0.2033433823338071,0.2444927871827693,0.5
0.3,0.028899082568807334,60,1,0.3681506296171215,0.3982282432434588,0.7
0.3,0.028899082568807334,60,2,0.2558159248297635,0.2959407571737462,0.7
0.3,0.03509174311926605,60,1,0.29530342360479045,0.3331100407991153,0.85
0.3,0.03509174311926605,60,2,0.30437799505526275,0.34146710478998776,0.85
0.3,0.03922018348623853,60,1,0.3012576623235078,0.33860128363513115,0.95
0.3,0.03922018348623853,60,2,0.3098312178741573,0.3464558959614501,0.95
0.3,0.043348623853211005,60,1,0.27132922472088916,0.31069942278733287,1.05
0.3,0.043348623853211005,60,2,0.2538087320028535,0.2940163683769388,1.05
0.3,0.047477064220183475,60,1,0.29256694446227427,0.33057637953665564,1.15
0.3,0.047477064220183475,60,2,0.2981776685910129,0.33576449898442545,1.15
0.3,0.0536697247706422,60,1,0.21144812753855494,0.2525969744059372,1.3
0.3,0.0536697247706422,60,2,0.3536510427512773,0.3856293714253369,1.3
0.3,0.061926605504587146,60,1,0.26714630088995467,0.30673992191129934,1.5
0.3,0.061926605504587146,60,2,0.3034354509450642,0.3406023013670384,1.5
0.3,0.08256880733944953,60,1,0.19422281814560555,0.23530143308856033,2.0
0.3,0.08256880733944953,60,2,0.3579210837350939,0.38935867398327256,2.0
0.3,0.01238532110091743,120,1,0.3715103772580699,0.4018015403206342,0.3
0.3,0.01238532110091743,120,2,0.25657853166391076,0.2974854736523915,0.3
0.3,0.020642201834862383,120,1,0.2570505809014919,0.2979370711238234,0.5
0.3,0.020642201834862383,120,2,0.3053553343040243,0.34314209359738795,0.5
0.3,0.028899082568807334,120,1,0.2762515634259532,0.31614428526216337,0.7
