scenario,replicate_id,variant,group_sizes,group_signal,group_amplitude,status,converged,fit_attempts,runtime_seconds,rhat_max,bulk_ess_min,divergence_ratio,error,mse_null,mse_signal,mse_overall,group_auroc
strong_group_amplitude,3,no_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.5, 1.0, 2.0]",ok,True,1,32.864807799996925,1.0068974494934082,506.6333199118117,0.000625,,0.0003549258578793229,0.011027852676318823,0.006758681948943024,1.0
strong_group_amplitude,4,with_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.5, 1.0, 2.0]",ok,True,1,35.9432603999885,1.010512113571167,504.3767829915938,0.0071875,,0.0013556706424494567,0.021736394184101726,0.013584104767440817,1.0
strong_group_amplitude,4,no_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.5, 1.0, 2.0]",ok,True,1,35.88935830000264,1.0108124017715454,475.2181446329622,0.001875,,0.0014200655850557353,0.021594815355758166,0.013524915447477193,1.0
strong_group_amplitude,5,with_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.5, 1.0, 2.0]",ok,True,1,40.710318900004495,1.0122021436691284,404.942947353073,0.003125,,0.0025889795875017807,0.024235116475318973,0.015576661720192096,1.0
strong_group_amplitude,5,no_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.5, 1.0, 2.0]",ok,True,1,27.445068100001663,1.0051542520523071,447.36136729075247,0.0025,,0.002560386828834715,0.024125882243888,0.015499684077866687,1.0
strong_group_amplitude,6,with_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.5, 1.0, 2.0]",ok,True,1,32.54613539999991,1.0096269845962524,404.20816457579207,0.005,,0.0008142623005058579,0.027002778384416008,0.016527371950851952,1.0
strong_group_amplitude,6,no_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.5, 1.0, 2.0]",ok,True,1,25.743146000007982,1.0100377798080444,435.5270201718123,0.001875,,0.0007402301651131658,0.02694752511740827,0.016464607136490228,1.0
strong_group_amplitude,7,with_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.5, 1.0, 2.0]",ok,True,1,35.245040900001186,1.0113296508789062,376.8179657889824,0.00625,,0.004874847925815467,0.010156302123764104,0.00804372044458465,1.0
strong_group_amplitude,7,no_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.5, 1.0, 2.0]",ok,True,1,31.27185730000201,1.0067050457000732,488.82301431018226,0.0003125,,0.0046043637179251145,0.009996397487927642,0.007839583979926634,1.0
strong_group_amplitude,8,with_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.5, 1.0, 2.0]",ok,True,1,32.58020989999932,1.00607430934906,521.5462318606615,0.00375,,0.001842304567983773,0.016958686211916946,0.010912133554343678,1.0
strong_group_amplitude,8,no_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.5, 1.0, 2.0]",ok,True,1,25.71566349999921,1.005064845085144,482.1391644596964,0.0075,,0.0017485806922207553,0.01682721800365137,0.010795763079079123,1.0
