setting_id,signal,design_type,rho_within,target_snr,sigma2,replicate_id,method,status,converged,fit_attempts,kappa_null_mean,kappa_signal_mean,runtime_seconds,rhat_max,bulk_ess_min,divergence_ratio,error,mse_null,mse_signal,mse_overall,avg_ci_length,coverage_95,lpd_test,probe_cfg
2,distributed,orthonormal,0.0,2.0,1.0,4,GHS_plus,ok,False,1,,,0.40978679999534506,1.0362749453914715,125.64830599272193,,,0.00038061211988180376,0.00578112867036993,0.0008126534439208538,0.21233882468010176,1.0,-1.884044068622182,c2_w1000_d1000
2,distributed,orthonormal,0.0,2.0,1.0,5,GHS_plus,ok,False,1,,,0.4095110000052955,1.0328445310672947,122.28363509698954,,,0.00019916439609402392,0.014362071543797778,0.0013321969679103243,0.20577410503938942,1.0,-1.3605779181918904,c2_w1000_d1000
1,concentrated,orthonormal,0.0,2.0,1.0,1,GHS_plus,ok,False,1,,,0.6604130999912741,1.033763520096026,209.08055758407644,,,0.0016032647912619094,0.013663863260859322,0.006427504179100874,0.3523999707026657,1.0,-1.342693100445713,c4_w800_d800
1,concentrated,orthonormal,0.0,2.0,1.0,2,GHS_plus,ok,False,1,,,0.6675837999937357,1.063032427555315,196.19473131035699,,,0.0013553644118841082,0.018807118693797895,0.008336066124649624,0.3428703068464101,0.96,-1.4701031486802907,c4_w800_d800
1,concentrated,orthonormal,0.0,2.0,1.0,3,GHS_plus,ok,False,1,,,0.6613199000130408,1.059039607072769,211.37330924676715,,,0.003627133189180896,0.015406595666676012,0.00833891818017894,0.36043079397596123,0.96,-1.6410773985701659,c4_w800_d800
1,concentrated,orthonormal,0.0,2.0,1.0,4,GHS_plus,ok,False,1,,,0.681972800011863,1.0522650384327719,175.07850393240693,,,0.00399265293286286,0.018996520469797634,0.00999419994763677,0.3189121638262114,0.96,-1.7260661111392632,c4_w800_d800
1,concentrated,orthonormal,0.0,2.0,1.0,5,GHS_plus,ok,False,1,,,0.6622404999943683,1.0597720222610558,188.94962751219495,,,0.00043389159079935404,0.013973625396062886,0.005849785112904768,0.33354387472486197,0.96,-1.454411844585111,c4_w800_d800
2,distributed,orthonormal,0.0,2.0,1.0,1,GHS_plus,ok,False,1,,,0.6353854999906616,1.0356532420533209,190.03924943042352,,,0.00038209145423916975,0.001319147817962661,0.00045705596333704896,0.219099188772332,1.0,-1.3313336537539788,c4_w800_d800
2,distributed,orthonormal,0.0,2.0,1.0,2,GHS_plus,ok,False,1,,,0.6404049999982817,1.0387938044223344,169.45502228029494,,,0.00018247434135389476,0.014830161588910679,0.0013542893211584374,0.1977423806229492,1.0,-1.5339029114535876,c4_w800_d800
2,distributed,orthonormal,0.0,2.0,1.0,3,GHS_plus,ok,False,1,,,0.6631581999972695,1.0386038020376067,193.52314407485838,,,0.0010570011923842224,0.011218920884435234,0.0018699547677483031,0.261145258720972,1.0,-1.3818394290098024,c4_w800_d800
2,distributed,orthonormal,0.0,2.0,1.0,4,GHS_plus,ok,False,1,,,0.6571804999985034,1.0345455726635506,201.52977080744907,,,0.0003294212981328979,0.00604402576228455,0.00078658965526503,0.2129545079769864,1.0,-1.8755893909102577,c4_w800_d800
2,distributed,orthonormal,0.0,2.0,1.0,5,GHS_plus,ok,False,1,,,0.6555468000005931,1.0296671099696615,194.56116368070246,,,0.00018137001215409946,0.014112148895773297,0.0012958323228436353,0.1992239590705522,1.0,-1.3602983265769164,c4_w800_d800
